epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,54.5821,1.90295,3.58854,46.6486,0.00082,3.5759,0,0,0,0,0.00025,0.08696,2e-05,0,2.30997,3.29022,28.1642,0.00122,0,0.000660767,0.000660767,0.000660767
2,103.932,2.19663,3.47203,20.5561,0.00078,3.40969,0,0,0,0,0,0,0,0,2.39694,5.15909,17.1088,0.00147,0,0.00131429,0.00131429,0.00131429
3,153.766,2.23815,7.48176,11.5388,0.0008,3.21909,0.00049,0.17391,0.00012,2e-05,0.00049,0.17391,0.00015,3e-05,2.58646,9.10952,11.2867,0.00137,0,0.00195462,0.00195462,0.00195462
4,204.383,2.15117,3.73943,7.25524,0.00078,3.30373,0.00025,0.08696,0.00034,7e-05,0.00025,0.08696,5e-05,1e-05,2.54815,4.70203,9.16812,0.00124,0,0.0019406,0.0019406,0.0019406
5,254.229,2.23157,3.32499,5.01506,0.00075,3.0686,0.54398,0.36369,0.3813,0.06938,0.52921,0.26087,0.29736,0.07121,2.58738,2.61091,3.22334,0.00128,0,0.0019208,0.0019208,0.0019208
6,303.93,2.02049,4.01856,3.52984,0.00069,2.90157,0.01106,0.56522,0.26462,0.08234,0.00936,0.47826,0.10214,0.02862,2.23032,5.61562,3.82454,0.00114,0,0.001901,0.001901,0.001901
7,354.298,2.18613,3.23149,3.49217,0.00075,2.55312,0.81529,0.19385,0.34999,0.08077,0.63058,0.15038,0.26984,0.08803,2.40018,4.41765,3.17455,0.00118,0,0.0018812,0.0018812,0.0018812
8,405.718,2.08279,3.22038,2.19113,0.00071,2.26408,0.62319,0.43478,0.46628,0.10116,0.59439,0.34783,0.33266,0.0705,2.35125,2.96132,2.2656,0.00114,0,0.0018614,0.0018614,0.0018614
9,458.015,2.16437,3.39661,2.26761,0.00074,2.30269,0.5137,0.43478,0.36875,0.07815,0.47543,0.34783,0.31387,0.10537,2.48464,2.50416,4.08652,0.00117,0,0.0018416,0.0018416,0.0018416
10,510.321,2.08796,2.77455,1.99227,0.00074,2.26982,0.78329,0.3913,0.50495,0.1549,0.43284,0.6087,0.48899,0.18409,2.29691,2.53333,2.20291,0.00121,0,0.0018218,0.0018218,0.0018218
11,560.772,1.95515,2.68514,1.99125,0.00065,2.27572,0.50159,0.43478,0.48441,0.14534,0.47191,0.47826,0.4236,0.14562,2.41708,2.3427,2.11597,0.00118,0,0.001802,0.001802,0.001802
12,612.583,2.30641,2.88283,1.84547,0.00074,2.31179,0.80625,0.47826,0.59856,0.22191,0.86219,0.54476,0.57376,0.18995,2.17833,2.07407,2.0068,0.00108,0,0.0017822,0.0017822,0.0017822
13,665.041,2.03277,2.96744,1.48055,0.00069,2.22279,0.71361,0.54231,0.51528,0.19436,0.6077,0.6087,0.52495,0.12991,2.22282,2.25585,2.03496,0.00108,0,0.0017624,0.0017624,0.0017624
14,718.045,2.09679,2.67265,1.70762,0.00067,2.10044,0.68354,0.6087,0.59505,0.14679,0.65705,0.47826,0.54057,0.23671,2.2065,2.74159,1.83118,0.00106,0,0.0017426,0.0017426,0.0017426
